German Translation (Google Translate);Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
ablenken;0;1;0;0;0;0;0;0;0;0
Ablenkung;0;0;0;0;0;0;0;0;0;0
Ablenkung;0;1;0;0;0;0;0;0;0;0
Ablösung;0;1;0;0;0;0;0;0;0;0
Ablösung;1;0;0;0;0;0;0;0;0;0
abnehmend;0;0;0;0;0;0;0;0;0;0
Abneigung;0;1;1;0;1;1;0;0;0;0
Abneigung;0;1;1;0;1;0;0;0;0;0
Abneigung;0;1;0;0;1;0;0;0;0;0
abnormal;0;1;0;0;1;0;0;0;0;0
Abonnement;0;0;0;0;0;0;0;0;0;0
abortiv;0;1;0;0;0;0;0;1;0;0
abraten;0;0;0;0;0;0;0;0;0;0
abreißen;0;1;1;0;0;0;0;1;0;0
Abrieb;0;1;0;0;0;0;0;0;0;0
Abriss;0;1;0;0;0;0;0;0;0;0
abrufen;0;0;0;0;0;0;0;0;0;0
abrupt;0;0;0;0;0;0;0;0;1;0
absacken;0;1;0;0;0;1;0;0;0;0
Absatz;0;0;0;0;0;0;0;0;0;0
Absätze;0;0;0;0;0;0;0;0;0;0
abschaffen;0;1;1;0;0;0;0;0;0;0
Abschaffung;0;1;0;0;0;0;0;0;0;0
abschalten;0;0;0;0;0;0;0;0;0;0
abschätzig;0;1;1;0;1;0;0;1;0;0
Abscheu;0;1;0;0;1;0;0;0;0;0
abscheulich;0;1;1;0;1;1;0;0;0;0
abscheulich;0;1;0;0;1;1;0;0;0;0
abscheulich;0;1;1;0;1;1;0;1;0;0
abscheulich;0;1;0;0;0;0;0;0;0;0
abscheulich;0;1;1;0;1;0;0;0;0;0
Abscheulichkeit;0;1;1;0;1;1;0;0;0;0
Abschiebung;0;1;1;0;0;1;0;1;0;0
Abschied;0;0;0;0;0;0;0;0;0;0
abschließen;0;1;0;0;0;1;0;1;0;0
abschließend;1;0;0;0;0;0;0;0;0;0
Abschluss;1;0;0;1;0;0;1;0;0;0
Abschluss;1;0;0;1;0;0;1;0;0;0
Abschluss;0;0;0;0;0;0;0;0;0;0
abschrecken;0;0;0;0;0;0;0;0;0;0
Abschreibung;0;1;0;0;0;1;0;0;0;0
Abschreibungen;0;0;0;0;0;0;0;0;0;1
abschwächen;0;0;0;0;0;0;0;0;0;0
abschweifen;0;1;0;1;0;0;0;0;0;0
abseits;0;0;0;0;0;0;0;0;0;0
Absendung;0;0;0;0;0;0;0;0;0;0
Absendung;0;0;0;0;0;0;0;0;0;0
Absicht;0;0;0;0;0;0;0;0;0;0
Absicht;0;0;0;0;0;0;0;0;0;0
Absicht;0;0;0;0;0;0;0;0;0;0
absichtlich;1;0;0;0;0;0;0;0;0;0
absichtlich;0;0;0;0;0;0;0;0;0;0
absichtlich;0;0;0;0;0;0;0;0;0;0
Absinth;0;0;0;0;0;0;0;0;0;0
absolut;1;0;0;0;0;0;0;0;0;0
Absolution;1;0;0;0;0;0;1;0;0;1
absondern;0;0;0;0;1;0;0;0;0;0
absorbierend;0;0;0;0;0;0;0;0;0;0
Absorption;0;0;0;0;0;0;0;0;0;0
Abstammung;0;0;0;0;0;0;0;0;0;0
Abstammung;0;0;0;0;0;0;0;0;0;0
absteigen;0;0;0;0;0;0;0;0;0;0
absteigend;0;0;0;0;0;0;0;0;0;0
Abstieg;0;0;0;0;0;1;0;1;0;0
Abstimmung;1;0;0;1;0;0;0;0;0;1
Abstimmung;0;0;0;0;0;0;0;0;0;0
Abstimmung;1;1;1;1;0;0;1;1;1;1
Abstimmung;0;0;0;0;0;0;0;0;0;0
Abstinenz;0;0;0;0;0;0;0;0;0;0
Abstraktion;0;0;0;0;0;0;0;0;0;0
Abstufung;0;0;0;0;0;0;0;0;0;0
Absturz;0;1;0;0;0;1;0;1;1;0
absurd;0;1;0;0;0;0;0;0;0;0
Absurdität;0;1;0;0;0;0;0;0;0;0
Abszess;0;1;0;0;0;0;0;1;0;0
Abt;0;0;0;0;0;0;0;0;0;1
Abteilung;0;0;0;0;0;0;0;0;0;0
Abteilung;0;0;0;0;0;0;0;0;0;0
abträglich;0;1;1;0;0;0;0;0;0;0
Abtreibung;0;1;0;0;1;1;0;1;0;0
abtreten;0;1;0;0;0;0;0;0;0;0
Abtrünnige;0;0;0;0;0;0;0;0;0;0
Abwasserkanal;0;0;0;0;0;0;0;0;0;0
abwechslungsreich;1;0;0;0;0;0;0;0;0;0
abwechslungsreich;0;0;0;0;0;0;0;0;0;0
abweichen;0;0;0;0;0;0;0;0;0;0
abweichen;0;0;0;0;0;0;0;0;0;0
Abweichend;0;1;1;0;1;1;0;1;0;0
abweichend;0;1;0;0;0;0;0;0;1;0
Abweichende;0;0;0;0;0;0;0;0;0;0
Abweichung;0;0;0;0;0;0;0;1;0;0
abwenden;0;0;0;0;0;0;0;0;0;0
abwesend;0;1;0;0;0;0;0;1;0;0
Abwesende;0;1;0;0;0;0;0;1;0;0
Abwesenheit;0;1;0;0;0;1;0;1;0;0
aby;0;0;0;0;0;0;0;0;0;0
Abzeichen;0;0;0;0;0;0;0;0;0;1
Abzeichen;1;0;0;0;0;0;0;0;0;0
abzeichnenden;0;0;0;0;0;0;0;0;0;0
abziehen;0;1;0;0;0;0;0;0;0;0
abziehen;0;1;1;0;0;0;0;0;0;0
Abzug;0;0;0;0;0;0;0;0;0;0
Abzug;0;0;1;0;0;0;0;0;0;0
Abzugshaube;0;1;1;0;1;1;0;0;0;0
accueil;1;0;0;0;0;0;0;0;0;0
Achse;0;0;0;0;0;0;0;0;0;0
Achse;0;0;0;0;0;0;0;0;0;0
Achselzucken;0;0;0;0;0;0;0;0;0;0
Acht;0;0;0;0;0;0;0;0;0;0
achte;0;0;0;0;0;0;0;0;0;0
Achteck;0;0;0;0;0;0;0;0;0;0
ächten;0;1;0;0;0;0;0;0;0;0
achtern;0;0;0;0;0;0;0;0;0;0
Achtsamkeit;1;0;0;0;0;0;0;0;0;0
Achtung;0;1;0;0;0;1;0;1;0;0
Achtung;0;0;0;0;0;0;0;0;0;0
Achtung;1;0;0;1;0;0;1;0;0;1
achtzig;0;0;0;0;0;0;0;0;0;0
Acker-;0;0;0;0;0;0;0;0;0;0
Adel;1;0;0;0;0;0;0;0;0;0
Adel;1;0;0;1;0;0;0;0;0;1
Ader;1;0;0;0;0;0;0;0;0;0
adieu;0;0;0;0;0;0;0;0;0;0
Adjektiv;0;0;0;0;0;0;0;0;0;0
Adjuvans;0;0;0;0;0;0;0;0;0;0
Adler;0;0;0;0;0;0;0;0;0;1
administrativ;0;0;0;0;0;0;0;0;0;1
Admiral;1;0;0;0;0;0;0;0;0;1
Admiralität;0;0;0;0;0;0;0;0;0;0
Adoleszenz;0;0;0;0;0;0;0;0;0;0
adoptieren;0;0;0;0;0;0;0;0;0;0
Adressat;0;0;0;0;0;0;0;0;0;0
Adresse;0;0;0;0;0;0;0;0;0;0
Adressen;1;0;0;1;0;0;0;0;0;0
adstringierend;0;1;0;0;0;0;0;0;0;0
Advent;1;0;0;1;0;0;1;0;0;1
Aerodynamik;0;0;0;0;0;0;0;0;0;0
Affäre;0;0;0;0;0;0;0;0;0;0
Affe;0;0;0;0;0;0;0;0;0;0
Affe;0;0;0;0;0;0;0;0;0;0
affiche;0;0;0;0;0;0;0;0;0;0
aga;1;0;0;0;0;1;0;0;0;1
Agent;0;0;0;0;0;0;0;0;0;0
Agentur;0;0;0;0;0;0;0;0;0;0
Aggregat;0;0;0;0;0;0;0;0;0;0
Aggression;0;1;1;0;0;1;0;0;0;0
aggressiv;0;1;1;0;0;1;0;0;0;0
Aggressor;0;1;1;0;0;1;0;0;0;0
Ägide;0;0;0;0;0;0;0;0;0;0
agil;1;0;0;0;0;0;0;0;0;0
Agitation;0;1;1;0;0;0;0;0;0;0
agnostisch;0;0;0;0;0;0;0;0;0;0
agua;0;0;0;0;0;0;0;0;0;0
Ahnen-;0;0;0;0;0;0;0;0;0;1
ähnlich;0;0;0;0;0;0;0;0;0;1
ähnlich;0;0;0;0;0;0;0;0;0;0
ähnlich;0;0;0;0;0;0;0;0;0;0
Ähnlichkeit;0;0;0;0;0;0;0;0;0;0
Ähnlichkeit;0;0;0;0;0;0;0;0;0;0
Ahnung;0;1;0;1;0;1;0;0;0;0
ahnungslos;0;0;0;0;0;0;0;0;0;0
ahnungslos;0;1;0;0;0;0;0;0;0;0
Airbag;0;0;0;0;0;0;0;0;0;0
Airs;0;1;0;0;1;0;0;0;0;0
ait;0;0;0;0;0;0;0;0;0;0
Akademie;1;0;0;0;0;0;0;0;0;0
Akkolade;1;0;0;1;0;0;1;0;1;1
Akkorde;0;0;0;0;0;0;0;0;0;0
Akkordeon;0;0;0;0;0;0;0;0;0;0
akkreditiert;1;0;0;0;0;0;0;0;0;1
akkumulieren;0;0;0;0;0;0;0;0;0;0
Akkusativ;0;1;0;0;0;0;0;0;0;0
Akquisitionen;0;0;0;0;0;0;0;0;0;0
akribisch;0;0;0;0;0;0;0;0;0;0
Akrobat;1;0;0;0;0;1;1;0;0;1
Aktion;1;0;0;0;0;0;0;0;0;0
aktiv;0;0;0;0;0;0;0;0;0;0
aktivieren;1;0;0;0;0;0;0;0;0;1
Aktivität;0;0;0;0;0;0;0;0;0;0
Aktuar;0;0;0;0;0;0;0;0;0;0
Akupunktur;0;0;0;0;0;0;0;0;0;0
Akustik;0;0;0;0;0;0;0;0;0;0
akustisch;0;0;0;0;0;0;0;0;0;0
Akzent;0;0;0;0;0;0;0;0;0;0
akzentuieren;0;0;0;0;0;0;0;0;0;0
akzeptabel;1;0;0;0;0;0;0;0;0;0
Akzeptanz;1;0;0;0;0;0;0;0;0;0
akzeptieren;0;0;0;0;0;0;0;0;0;0
Alabaster;1;0;0;0;0;0;0;0;0;0
Alarm;0;1;0;0;0;1;0;0;1;0
Alarm;0;0;0;0;0;0;0;0;0;0
alarmierend;0;1;0;0;0;1;0;0;1;0
Alba;0;0;0;0;0;0;0;0;0;1
albern;0;1;0;0;0;0;0;0;0;0
albern;0;1;0;0;0;0;1;0;0;0
Album;0;0;0;0;0;0;0;0;0;0
Alchimie;0;0;0;0;0;0;0;0;0;0
Algebra;0;0;0;0;0;0;0;0;0;0
algebraisch;0;0;0;0;0;0;0;0;0;0
Algorithmus;0;0;0;0;0;0;0;0;0;0
Alibi;0;0;0;0;0;0;0;0;0;0
Alimente;0;1;0;0;0;0;0;0;0;0
aliquoten;0;0;0;0;0;0;0;0;0;0
Alkali;0;0;0;0;0;0;0;0;0;0
Alkaloide;0;0;0;0;0;0;0;0;0;0
Alkohol;0;0;0;0;0;0;0;0;0;0
Alkoholismus;0;1;1;0;1;1;0;1;0;0
Alkoven;0;0;0;0;0;0;0;0;0;0
Allee;0;0;0;0;0;0;0;0;0;0
Allegorie;0;0;0;0;0;0;0;0;0;0
allegorisch;0;0;0;0;0;0;0;0;0;0
allegro;1;0;0;0;0;0;0;0;0;0
allgegenwärtig;0;0;0;0;0;0;0;0;0;0
allgemein;1;0;0;0;0;0;0;0;0;1
allgemein;0;0;0;0;0;0;0;0;0;0
Allgemeinheit;0;0;0;0;0;0;0;0;0;0
Allheilmittel;1;0;0;0;0;0;0;0;0;0
Allianz;0;0;0;0;0;0;0;0;0;1
Alligator;0;0;0;0;0;0;0;0;0;0
Allmacht;1;1;0;0;0;1;0;0;0;0
allmächtig;1;0;0;0;0;0;0;0;0;0
allmählich;0;0;0;1;0;0;0;0;0;0
alltäglich;0;0;0;1;0;0;0;0;0;1
alltäglich;0;0;0;0;0;0;0;0;0;0
allwissend;1;0;0;0;0;0;0;0;0;1
Almanach;0;0;0;0;0;0;0;0;0;0
aloha;1;0;0;1;0;0;1;0;0;0
Alp;0;1;0;0;1;1;0;0;0;0
Alphabet;0;0;0;0;0;0;0;0;0;0
alphabetisch;0;0;0;0;0;0;0;0;0;0
alphabetisches Ortsverzeichnis;0;0;0;0;0;0;0;0;0;0
Alptraum;0;1;0;0;0;1;0;0;0;0
alsbald;0;0;0;0;0;0;0;0;0;0
alt;0;0;0;0;0;0;0;0;0;0
Alt;0;0;0;0;0;0;0;0;0;0
alt;0;1;0;0;0;0;0;0;0;0
Altar;0;0;0;0;0;0;0;0;0;0
Alten;0;0;0;0;0;0;0;0;0;0
Alter;0;0;0;0;0;0;0;0;0;0
älter;0;0;0;0;0;0;0;1;0;0
ältere;1;0;0;0;0;0;0;0;0;1
Alternative;0;0;0;0;0;0;0;0;0;0
altersschwach;0;1;0;0;0;0;0;0;0;0
Altertum;0;0;0;0;0;0;0;0;0;0
älteste;0;0;0;0;0;0;0;0;0;0
Ältesten;1;0;0;0;0;0;0;0;0;1
alveolar;0;0;0;0;0;0;0;0;0;0
Amalgam;0;0;0;0;0;0;0;0;0;0
Amateur;0;0;0;0;0;0;0;0;0;0
Amboss;0;0;0;0;0;0;0;0;0;0
Ambulanz;0;0;0;0;0;1;0;0;0;1
Ameise;0;0;0;0;0;0;0;0;0;0
amen;1;0;0;0;0;0;1;0;0;1
Amethyst;0;0;0;0;0;0;0;0;0;0
Ammoniak;0;0;0;0;1;0;0;0;0;0
Amnesie;0;1;0;0;0;0;0;0;0;0
Amnestie;1;0;0;0;0;0;1;0;0;0
amorph;0;0;0;0;0;0;0;0;0;0
Amphetamine;0;1;0;0;1;0;0;0;0;0
Amphibie;0;0;0;0;0;0;0;0;0;0
amphibisch;0;0;0;0;0;0;0;0;0;0
Amphitheater;0;0;0;0;0;0;0;0;0;0
Amplitude;0;0;0;0;0;0;0;0;0;0
Amputation;0;0;0;0;0;0;0;0;0;0
amtieren;0;0;0;0;0;0;0;0;0;0
Amtsvergehen;0;1;0;0;1;0;0;0;0;0
Amtsvergehen;0;1;1;0;0;0;0;0;0;0
Amtszeit;0;0;0;0;0;0;0;0;0;0
Amulett;0;0;0;0;0;0;0;0;0;0
amüsant;1;0;0;0;0;0;1;0;0;0
amüsieren;1;0;0;0;0;0;1;0;0;0
amüsierten;1;0;0;0;0;0;1;0;0;0
an Bord;0;0;0;0;0;0;0;0;0;0
ana;0;0;0;0;0;0;0;0;0;0
Anakonda;0;1;0;0;1;1;0;0;0;0
anal;0;1;0;0;0;0;0;0;0;0
analog;0;0;0;0;0;0;0;0;0;0
Analogie;0;0;0;0;0;0;0;0;0;0
Analogon;0;0;0;0;0;0;0;0;0;0
Analphabet;0;1;0;0;1;0;0;0;0;0
Analysator;0;0;0;0;0;0;0;0;0;0
Analyse;0;0;0;0;0;0;0;0;0;0
analysieren;0;0;0;0;0;0;0;0;0;0
analysieren;0;0;0;0;0;0;0;0;0;0
Analytiker;1;0;0;1;0;0;0;0;0;1
analytisch;0;0;0;0;0;0;0;0;0;0
Ananas;0;0;0;0;0;0;0;0;0;0
Anarchie;0;1;1;0;0;1;0;0;0;0
Anarchismus;0;1;1;0;0;1;0;0;0;0
Anarchist;0;1;1;0;0;1;0;0;0;0
Anästhesie;0;0;0;0;0;0;0;0;0;0
Anastomose;0;0;0;0;0;0;0;0;0;0
Anathema;0;1;1;0;1;1;0;1;0;0
Anatomie;0;0;0;0;0;0;0;0;0;0
anatomisch;0;0;0;0;0;0;0;0;0;0
Anbau;1;0;0;0;0;0;0;0;0;0
Anbaufläche;0;0;0;0;0;0;0;0;0;0
Anbetung;1;0;0;0;0;0;1;0;0;1
Anbetung;1;0;0;1;0;1;1;0;0;1
anbraten;0;1;0;0;0;0;0;0;0;0
anbringen;0;0;0;0;0;0;0;0;0;0
Andachts-;1;0;0;0;0;0;0;0;0;1
Andenken;1;0;0;0;0;0;0;0;0;0
Andenken;1;0;0;0;0;0;0;0;0;0
änderbar;0;0;0;1;0;0;0;0;1;0
ändern;0;0;0;0;0;0;0;0;0;0
ändern;1;0;0;0;0;0;0;0;0;0
ändern;0;0;0;0;0;0;0;0;1;0
Änderung;0;0;0;0;0;0;0;0;0;0
Änderung;0;0;0;0;0;0;0;0;0;0
Andeutung;0;0;0;0;0;0;0;0;0;0
Androgen-;0;0;0;0;0;0;0;0;0;0
Aneignung;0;1;0;0;0;0;0;0;0;0
Anemone;0;0;0;0;0;0;0;0;0;0
anerkannt;0;0;0;0;0;0;0;0;0;0
anerkannt;0;0;0;0;0;0;0;0;0;0
Anerkennung;0;0;0;0;0;0;0;0;0;0
anfällig;0;0;0;0;0;0;0;0;0;0
anfällig;0;0;0;0;0;0;0;0;0;0
anfällig;0;1;0;0;0;0;0;0;0;0
Anfang;0;0;0;0;0;0;0;0;0;0
Anfang;0;0;0;0;0;0;0;0;0;0
Anfang;0;0;0;1;0;0;0;0;0;0
Anfänger;0;0;0;0;0;0;0;0;0;0
Anfänger;0;0;0;0;0;0;0;0;0;0
Anfangs-;0;0;0;0;0;0;0;0;0;0
anflehen;0;0;0;0;0;0;0;0;0;0
Anforderung;0;0;0;0;0;0;0;0;0;0
Anfrage;1;0;0;1;0;0;0;0;0;0
anfragen;0;0;0;0;0;0;0;0;0;0
anfügen;0;0;0;0;0;0;0;0;0;0
Angabe;1;0;0;0;0;0;0;0;0;0
angeblich;0;0;0;0;0;0;0;0;0;0
angeboren;0;0;0;0;0;0;0;0;0;0
angeboren;0;0;0;0;0;0;0;0;0;0
angeboren;0;0;0;0;0;0;0;0;0;0
angeboren;0;0;0;0;0;0;0;0;0;0
Angebot;1;0;0;0;0;0;0;0;0;0
Angebot;1;0;0;0;0;0;1;0;0;1
angeboten;0;0;0;0;0;0;0;0;0;0
angedockt;0;1;0;0;0;0;0;0;0;0
angehen;0;0;1;0;0;0;0;0;1;0
angehoben;0;0;0;0;0;0;0;0;0;0
angeklagt;0;1;1;0;0;1;0;0;0;0
Angelegenheit;0;0;0;0;0;0;0;0;0;0
angelehnt;0;0;0;0;0;0;0;0;0;0
Angeln;0;1;0;1;0;0;0;0;0;0
angemessen;0;0;0;0;0;0;0;0;0;0
Angemessenheit;1;0;0;0;0;0;0;0;0;0
Angemessenheit;0;0;0;0;0;0;0;0;0;0
angenehm;1;0;0;0;0;0;0;0;0;1
angenehm;1;0;0;1;0;0;1;0;1;1
angenommen;0;0;0;0;0;0;0;0;0;0
angenommen;0;0;0;0;0;0;0;0;0;1
angeordnet;0;0;0;0;0;0;0;0;0;0
angeschlossen;1;0;0;0;0;0;0;0;0;0
angeschwemmt;0;0;0;0;0;0;0;0;0;0
angespannt;0;1;1;0;0;0;0;0;0;0
angespannt;0;0;0;0;0;0;0;0;0;0
angewiesen;0;0;0;0;0;0;0;0;0;0
Angina;0;1;0;0;0;1;0;0;0;0
Angiographie;0;0;0;0;0;0;0;0;0;0
angreifen;0;1;1;0;0;1;0;0;1;0
angreifen;0;1;1;0;1;1;0;1;1;0
Angreifer;0;1;1;0;0;1;0;1;0;0
angrenzend;0;0;0;0;0;0;0;0;0;0
angrenzend;0;0;0;0;0;0;0;0;0;0
Angrenzung;0;0;0;0;0;0;0;0;0;0
Angriff;0;1;1;0;0;1;0;0;0;0
Angriff;0;1;1;0;0;1;0;0;0;0
Angst;0;1;1;1;0;1;0;1;0;0
Angst;0;1;1;0;0;1;0;0;0;0
ängstlich;0;1;0;0;0;1;0;0;0;0
ängstlich;0;1;0;1;0;1;0;0;0;0
ängstlich;0;1;0;1;0;1;0;0;0;0
ängstlich;0;1;0;0;0;1;0;1;0;0
ängstlich;0;1;0;0;0;1;0;1;1;0
anhaftende;0;0;0;0;0;0;0;0;0;1
Anhaltspunkt;0;0;0;1;0;0;0;0;0;0
Anhang;0;0;0;0;0;0;0;0;0;0
anhängen;0;0;0;0;0;0;0;0;0;0
Anhänger;0;0;0;0;0;0;0;0;0;0
Anhänger;0;0;0;0;0;0;0;0;0;0
Anhänger;0;0;0;0;0;0;0;0;0;1
Anhänger;0;0;0;0;0;0;0;0;0;0
Anhänger;0;0;0;0;0;0;0;0;0;0
Anhängsel;0;0;0;0;0;0;0;0;0;0
anhäufen;0;0;0;0;0;0;0;0;0;0
Anhäufung;0;0;0;0;0;0;0;0;0;0
Anhäufung;0;0;0;0;0;0;0;0;0;0
Anhäufung;0;0;0;0;0;0;0;0;0;0
Anhebung;0;0;0;0;0;0;0;0;0;0
Anhöhe;1;0;0;0;0;0;0;0;0;1
Animation;0;0;0;0;0;0;0;0;0;0
animieren;1;0;0;0;0;0;0;0;0;0
Animus;0;1;1;0;0;0;0;0;0;0
Anker;1;0;0;0;0;0;0;0;0;0
Anker;0;0;0;0;0;0;0;0;0;0
Ankerplatz;1;0;0;0;0;0;0;1;0;0
Anklage;0;1;1;0;1;0;0;0;0;0
Anklage;0;1;0;0;0;0;0;0;0;0
Anklage;0;1;0;0;0;1;0;0;0;0
anklagen;0;1;0;0;1;1;0;0;0;0
anklagen;0;1;1;0;0;1;0;0;0;0
anklagend;0;1;1;0;0;1;0;0;0;0
Ankläger;0;1;1;0;0;1;0;0;0;0
Ankläger;0;0;0;0;0;0;0;0;0;0
ankommen;0;0;0;1;0;0;0;0;0;0
Ankündigung;0;0;0;1;0;0;0;0;0;0
Ankündigung;0;0;0;0;0;0;0;0;0;0
Ankunft;0;0;0;1;0;0;0;0;0;0
Anlagerung;0;0;0;0;0;0;0;0;0;0
Anlegeplatz;0;0;0;0;0;0;0;0;0;0
Anlegesteg;0;0;0;0;0;0;0;0;0;0
Anleihe;0;0;0;0;0;0;0;0;0;0
Anleitung;1;0;0;0;0;0;0;0;0;1
Anleitung;0;0;0;1;0;0;0;0;0;1
anmaßend;0;1;1;0;0;0;0;0;0;0
Anmeldeinformationen;1;0;0;0;0;0;0;0;0;1
Anmelder;0;0;0;0;0;0;0;0;0;1
Anmeldung;0;0;0;0;0;0;0;0;0;0
Anmerkung;0;0;0;0;0;0;0;0;0;0
anmutig;1;0;0;0;0;0;0;0;0;0
Annäherung;0;0;0;1;0;0;0;0;0;0
Annäherung;0;0;0;0;0;0;0;0;0;0
Annäherungs;0;0;0;0;0;0;0;0;0;0
Annalen;0;0;0;0;0;0;0;0;0;0
annehmen;0;0;0;0;0;0;0;0;0;0
Annehmlichkeit;1;0;0;0;0;0;0;0;0;0
Annexion;0;0;0;0;0;0;0;0;0;0
annullieren;0;1;0;0;0;0;0;0;0;0
annullieren;0;1;0;0;0;0;0;0;1;0
anomal;0;0;0;0;0;0;0;0;0;0
Anomalie;0;1;0;0;0;1;0;0;1;0
anonym;0;1;0;0;0;0;0;0;0;0
Anordnung;0;0;0;0;0;0;0;0;0;0
Anordnung;0;1;0;0;0;0;0;0;0;0
anorganisch;0;0;0;0;0;0;0;0;0;0
anpassen;1;0;0;0;0;0;0;0;0;0
Anpassung;0;0;0;0;0;0;0;0;0;0
anpassungsfähig;1;0;0;0;0;0;0;0;0;0
Anreiz;0;0;0;0;0;0;0;0;0;0
Anreiz;0;0;0;0;0;0;0;0;0;0
Anruf;0;0;0;0;0;0;0;0;0;0
Anrufbeantworter;0;0;0;0;0;0;0;0;0;0
Anrufe;0;1;0;1;0;0;0;0;0;1
Ansatz;0;0;0;0;0;0;0;0;0;0
anschließend;0;0;0;0;0;0;0;0;0;0
anschließend;0;0;0;0;0;0;0;0;0;0
Anschluss;0;0;0;0;0;0;0;0;0;0
Anschluss;0;0;0;0;0;0;0;0;0;0
Ansehen;1;0;0;0;0;0;1;0;0;0
Ansehen;1;0;0;0;0;0;1;0;0;1
Ansehen;1;0;0;0;0;0;0;0;0;0
Ansehen;0;0;0;0;0;0;0;0;0;0
